PUFC05_AGE,PUFC06_MSTAT,PUFC04_SEX,PUFC07_GRADE,PUFC08_CURSCH,PUFC38_PREVJOB,PUFC31_FLWRK,PUFC30_LOOKW,PUFC34_WYNOT
26,4,2,700,-1,-1,-1,-1,-1
14,1,2,700,1,-1,-1,-1,-1
13,1,2,700,1,-1,-1,-1,-1
34,2,2,700,-1,1,-1,2,7
26,2,1,700,-1,-1,-1,-1,-1
13,1,1,700,1,-1,-1,-1,-1
23,1,1,700,1,-1,-1,-1,-1
39,2,2,700,-1,-1,-1,-1,-1
56,3,2,700,-1,-1,-1,-1,-1
28,2,1,700,-1,-1,-1,-1,-1
5,1,1,700,1,-1,-1,-1,-1
14,1,2,700,1,-1,-1,-1,-1
43,2,2,700,-1,1,-1,2,7
35,2,1,700,-1,-1,-1,-1,-1
87,3,2,700,-1,1,-1,2,6
16,1,2,700,1,2,-1,2,8
24,1,2,700,1,-1,-1,-1,-1
12,1,1,700,1,-1,-1,-1,-1
52,2,1,700,-1,-1,-1,-1,-1
9,1,2,700,1,-1,-1,-1,-1
9,1,2,700,1,-1,-1,-1,-1
44,2,2,700,-1,-1,-1,-1,-1
29,1,1,700,-1,-1,-1,-1,-1
16,1,1,700,1,-1,-1,-1,-1
43,1,2,700,-1,-1,-1,-1,-1
47,2,2,700,-1,2,-1,2,7
30,2,2,700,-1,-1,-1,-1,-1
34,2,1,700,-1,-1,-1,-1,-1
35,2,1,700,-1,-1,-1,-1,-1
20,1,1,700,1,2,-1,2,8
44,2,1,700,-1,-1,-1,-1,-1
24,2,1,700,2,-1,-1,-1,-1
28,2,2,700,-1,2,-1,2,7
16,1,1,700,1,2,-1,2,8
26,2,2,700,-1,1,2,1,-1
51,2,2,700,-1,1,-1,2,7
14,1,1,700,1,-1,-1,-1,-1
77,2,1,700,-1,1,-1,2,6
53,2,2,700,-1,1,-1,2,7
11,1,1,700,1,-1,-1,-1,-1
27,2,1,700,-1,-1,-1,-1,-1
14,1,2,700,1,-1,-1,-1,-1
35,2,2,700,-1,1,-1,2,7
10,1,2,700,1,-1,-1,-1,-1
41,2,1,700,-1,-1,-1,-1,-1
8,1,1,700,1,-1,-1,-1,-1
31,1,2,700,-1,-1,-1,-1,-1
6,1,1,700,1,-1,-1,-1,-1
36,2,1,700,-1,-1,-1,-1,-1
59,4,1,700,-1,-1,-1,-1,-1
70,2,2,700,-1,1,-1,2,6
8,1,1,700,1,-1,-1,-1,-1
56,2,1,700,-1,-1,-1,-1,-1
33,2,2,700,-1,1,-1,2,7
10,1,2,700,1,-1,-1,-1,-1
90,3,2,700,-1,2,-1,2,6
45,2,1,700,-1,-1,-1,-1,-1
40,2,2,700,-1,-1,-1,-1,-1
10,1,1,700,1,-1,-1,-1,-1
13,1,2,700,1,-1,-1,-1,-1
64,3,2,700,-1,1,-1,2,6
39,2,1,700,-1,-1,-1,-1,-1
65,3,2,700,-1,1,-1,2,6
49,2,1,700,-1,-1,-1,-1,-1
32,1,1,700,-1,-1,-1,-1,-1
19,2,2,700,2,1,-1,2,7
5,1,2,700,1,-1,-1,-1,-1
42,2,2,700,-1,-1,-1,-1,-1
42,1,1,700,-1,1,-1,2,1
20,1,2,700,2,-1,-1,-1,-1
61,2,2,700,-1,-1,-1,-1,-1
54,2,1,700,-1,-1,-1,-1,-1
53,2,1,700,-1,-1,-1,-1,-1
20,1,2,700,2,-1,-1,-1,-1
15,1,1,700,1,2,-1,2,8
32,1,1,700,-1,1,2,1,-1
10,1,2,700,1,-1,-1,-1,-1
6,1,1,700,1,-1,-1,-1,-1
13,1,1,700,1,-1,-1,-1,-1
40,2,1,700,-1,-1,-1,-1,-1
18,1,1,700,1,2,-1,2,8
8,1,1,700,1,-1,-1,-1,-1
44,3,1,700,-1,-1,-1,-1,-1
5,1,2,700,1,-1,-1,-1,-1
42,2,2,700,-1,1,-1,2,7
23,1,1,700,2,-1,-1,-1,-1
30,2,1,700,-1,-1,-1,-1,-1
42,2,2,700,-1,1,-1,2,7
20,2,2,700,2,1,-1,2,7
50,2,1,700,-1,-1,-1,-1,-1
24,1,1,700,2,-1,-1,-1,-1
19,1,2,700,1,1,-1,2,8
44,4,1,700,-1,-1,-1,-1,-1
27,1,1,700,-1,-1,-1,-1,-1
7,1,2,700,1,-1,-1,-1,-1
70,2,2,700,-1,1,-1,2,6
24,1,2,700,2,1,-1,2,7
20,1,2,700,2,2,-1,2,7
19,1,2,700,2,-1,-1,-1,-1
7,1,1,700,1,-1,-1,-1,-1
22,1,2,700,1,2,-1,2,8
5,1,1,700,1,-1,-1,-1,-1
39,2,1,700,-1,-1,-1,-1,-1
53,2,1,700,-1,-1,-1,-1,-1
69,3,1,700,-1,1,-1,2,6
63,3,2,700,-1,2,-1,2,6
31,2,1,700,-1,-1,-1,-1,-1
7,1,2,700,1,-1,-1,-1,-1
14,1,2,700,1,-1,-1,-1,-1
42,2,2,700,-1,-1,-1,-1,-1
18,1,2,700,1,2,-1,2,8
50,2,2,700,-1,-1,-1,-1,-1
21,2,2,700,2,-1,-1,-1,-1
15,1,1,700,1,2,-1,2,8
48,2,1,700,-1,-1,-1,-1,-1
49,2,1,700,-1,-1,-1,-1,-1
33,2,2,700,-1,-1,-1,-1,-1
7,1,2,700,2,-1,-1,-1,-1
46,2,2,700,-1,-1,-1,-1,-1
47,2,1,700,-1,-1,-1,-1,-1
55,2,1,700,-1,-1,-1,-1,-1
55,1,1,700,-1,-1,-1,-1,-1
6,1,2,700,1,-1,-1,-1,-1
42,2,2,700,-1,2,-1,2,7
29,2,2,700,-1,1,-1,2,7
47,2,2,700,-1,-1,-1,-1,-1
8,1,1,700,1,-1,-1,-1,-1
11,1,2,700,1,-1,-1,-1,-1
42,2,2,700,-1,1,-1,2,7
14,1,2,700,1,-1,-1,-1,-1
7,1,1,700,1,-1,-1,-1,-1
45,2,1,700,-1,-1,-1,-1,-1
45,1,1,700,-1,-1,-1,-1,-1
29,2,2,700,-1,1,-1,2,7
17,1,2,700,1,2,-1,2,8
18,1,1,700,2,2,-1,2,7
33,2,1,700,-1,-1,-1,-1,-1
18,1,2,700,1,2,-1,2,8
7,1,2,700,1,-1,-1,-1,-1
46,2,2,700,-1,-1,-1,-1,-1
57,2,1,700,-1,-1,-1,-1,-1
31,2,1,700,-1,-1,-1,-1,-1
28,2,2,700,-1,-1,-1,-1,-1
46,2,2,700,-1,-1,-1,-1,-1
58,2,1,700,-1,1,-1,2,1
47,2,1,700,-1,-1,-1,-1,-1
8,1,2,700,1,-1,-1,-1,-1
9,1,1,700,1,-1,-1,-1,-1
51,3,2,700,-1,-1,-1,-1,-1
13,1,1,700,1,-1,-1,-1,-1
47,2,2,700,-1,-1,-1,-1,-1
29,1,1,700,-1,-1,-1,-1,-1
43,2,1,700,-1,-1,-1,-1,-1
59,3,2,700,-1,1,-1,2,7
60,1,2,700,-1,-1,-1,-1,-1
65,1,1,700,-1,1,-1,2,7
15,1,1,700,1,2,-1,2,8
73,2,2,700,-1,-1,-1,-1,-1
16,1,1,700,1,2,-1,2,8
45,2,1,700,-1,1,2,1,-1
57,2,1,700,-1,-1,-1,-1,-1
56,2,2,700,-1,1,-1,2,7
28,2,2,700,-1,1,-1,2,7
27,2,2,700,-1,-1,-1,-1,-1
62,2,2,700,-1,1,-1,2,6
80,2,1,700,-1,1,-1,2,7
41,1,1,700,-1,-1,-1,-1,-1
70,2,2,700,-1,1,-1,2,6
30,2,2,700,-1,1,-1,2,7
47,2,1,700,-1,-1,-1,-1,-1
14,1,2,700,1,-1,-1,-1,-1
44,2,1,700,-1,-1,-1,-1,-1
61,1,2,700,-1,-1,-1,-1,-1
16,1,1,700,1,-1,-1,-1,-1
45,2,2,700,-1,-1,-1,-1,-1
17,1,1,700,1,-1,-1,-1,-1
34,2,2,700,-1,2,2,1,-1
24,1,2,700,2,-1,-1,-1,-1
39,2,1,700,-1,-1,-1,-1,-1
14,1,2,700,1,-1,-1,-1,-1
23,2,2,700,2,2,-1,2,7
37,2,2,700,-1,-1,-1,-1,-1
33,2,1,700,-1,-1,-1,-1,-1
59,2,2,700,-1,-1,-1,-1,-1
13,1,1,700,2,-1,-1,-1,-1
23,1,1,700,2,-1,-1,-1,-1
11,1,1,700,1,-1,-1,-1,-1
9,1,2,700,1,-1,-1,-1,-1
6,1,1,700,1,-1,-1,-1,-1
50,2,1,700,-1,-1,-1,-1,-1
30,2,1,700,-1,-1,-1,-1,-1
15,1,1,700,1,2,-1,2,8
13,1,2,700,1,-1,-1,-1,-1
70,2,2,700,-1,1,-1,2,6
9,1,2,700,1,-1,-1,-1,-1
16,1,1,700,2,1,-1,2,1
5,1,1,700,1,-1,-1,-1,-1
32,2,1,700,-1,-1,-1,-1,-1
45,1,1,700,-1,-1,-1,-1,-1
22,1,1,700,2,-1,-1,-1,-1
23,1,1,700,1,-1,-1,-1,-1
49,2,2,700,-1,-1,-1,-1,-1
8,1,2,700,1,-1,-1,-1,-1
20,1,2,700,2,-1,-1,-1,-1
8,1,2,700,1,-1,-1,-1,-1
31,3,2,700,-1,-1,-1,-1,-1
8,1,1,700,1,-1,-1,-1,-1
12,1,1,700,1,-1,-1,-1,-1
28,2,1,700,-1,-1,-1,-1,-1
29,2,1,700,-1,-1,-1,-1,-1
24,1,1,700,2,-1,-1,-1,-1
16,1,1,700,1,1,-1,2,8
33,1,1,700,-1,1,-1,2,6
37,2,2,700,-1,-1,-1,-1,-1
77,3,2,700,-1,1,-1,2,6
64,1,1,700,-1,-1,-1,-1,-1
14,1,2,700,1,-1,-1,-1,-1
23,1,2,700,2,-1,-1,-1,-1
62,1,2,700,-1,1,-1,2,7
28,2,1,700,-1,-1,-1,-1,-1
19,1,1,700,1,2,-1,2,8
30,2,1,700,-1,-1,-1,-1,-1
41,2,1,700,-1,-1,-1,-1,-1
9,1,1,700,1,-1,-1,-1,-1
17,1,1,700,2,2,1,1,-1
29,2,2,700,-1,1,-1,2,7
5,1,2,700,1,-1,-1,-1,-1
